layer,sequences,time_us
model_core,1,43627.746121356
model_core_stage_0,1,43627.746121356
model_core,2,45864.651821314
model_core_stage_0,2,45864.651821314
model_core,3,48040.306227403
model_core_stage_0,3,48040.306227403
model_core,4,50156.390230386
model_core_stage_0,4,50156.390230386
model_core,5,52214.538593119
model_core_stage_0,5,52214.538593119
model_core,6,54216.341216424
model_core_stage_0,6,54216.341216424
model_core,7,56163.344370214
model_core_stage_0,7,56163.344370214
model_core,8,58057.051890835
model_core_stage_0,8,58057.051890835
model_core,9,59898.926345553
model_core_stage_0,9,59898.926345553
model_core,10,61690.390165080
model_core_stage_0,10,61690.390165080
model_core,11,63432.826745025
model_core_stage_0,11,63432.826745025
model_core,12,65127.581517114
model_core_stage_0,12,65127.581517114
model_core,13,66775.962991016
model_core_stage_0,13,66775.962991016
model_core,14,68379.243767579
model_core_stage_0,14,68379.243767579
model_core,15,69938.661524257
model_core_stage_0,15,69938.661524257
model_core,16,71455.419973497
model_core_stage_0,16,71455.419973497
model_core,17,72930.689794828
model_core_stage_0,17,72930.689794828
model_core,18,74365.609541361
model_core_stage_0,18,74365.609541361
model_core,19,75761.286521427
model_core_stage_0,19,75761.286521427
model_core,20,77118.797656010
model_core_stage_0,20,77118.797656010
model_core,21,78439.190312649
model_core_stage_0,21,78439.190312649
model_core,22,79723.483116466
model_core_stage_0,22,79723.483116466
model_core,23,80972.666738927
model_core_stage_0,23,80972.666738927
model_core,24,82187.704664962
model_core_stage_0,24,82187.704664962
model_core,25,83369.533939032
model_core_stage_0,25,83369.533939032
model_core,26,84519.065890721
model_core_stage_0,26,84519.065890721
model_core,27,85637.186840423
model_core_stage_0,27,85637.186840423
model_core,28,86724.758785651
model_core_stage_0,28,86724.758785651
model_core,29,87782.620068521
model_core_stage_0,29,87782.620068521
model_core,30,88811.586024919
model_core_stage_0,30,88811.586024919
model_core,31,89812.449615846
model_core_stage_0,31,89812.449615846
model_core,32,90785.982041442
model_core_stage_0,32,90785.982041442
model_core,33,91732.933338163
model_core_stage_0,33,91732.933338163
model_core,34,92654.032959560
model_core_stage_0,34,92654.032959560
model_core,35,93549.990341134
